"","fcdo_programme_id","country_type","Country"
"48","300346",2,"United Kingdom, Indonesia, Canada, South Africa, Switzerland, Netherlands, Rwanda, Uganda, India, Austria, Zambia, Tanzania, Kenya, Unknown, Ethiopia, Georgia"
"49","300347",2,"Unknown, United Kingdom, South Africa, United States, Uganda, Netherlands, Belgium, Cambodia, Thailand, Singapore, Norway, Japan, Canada, Kenya, Italy, Georgia, Sierra Leone, Zambia, Nigeria, Malawi, Ghana, Tanzania, Australia, Denmark, Pakistan, France, India, Ethiopia, Mali, Zimbabwe, Venezuela, Malaysia, Switzerland, China, Lebanon, Germany, Armenia, Sweden, Finland, Indonesia, Cuba, Botswana, Hong Kong, Gambia, Sudan, Cameroon"
"50","300482",1,"Ethiopia, Nepal, Iraq, Indonesia, Philippines, Syrian Arab Republic, Mozambique, Bangladesh, Kenya, Jordan, Ecuador, India, Nigeria, Switzerland, Uganda, United States, Denmark, United Kingdom, Sudan, Lebanon, South Sudan, Ghana"
"51","300482",2,"United Kingdom, Unknown"
"52","300484",1,"United Kingdom, Nepal, Colombia, Central African Republic"
"53","300484",2,"Ireland, United Kingdom, Unknown, United States, Switzerland"
"54","300649",1,"Kenya, Uganda, Ethiopia, Bangladesh, Nigeria"
"55","300649",2,"Peru, Ethiopia, Unknown"
"56","300815",1,"Kenya, Bangladesh, Philippines, India, Cameroon, Gambia, Uganda, South Africa, Malawi, Indonesia, Ethiopia, Tanzania, Tajikistan, Papua New Guinea, Jordan, Dominican Republic, Bolivia, Liberia, Sierra Leone, Nigeria, Rwanda, Mongolia"
"57","300815",2,"United Kingdom, Switzerland, United States"
"58","300966",1,"Rwanda, Thailand, Lebanon, France, Uganda, Jordan, United States, Bangladesh, India, Zambia, Tanzania, Colombia, Myanmar, Mali, Kenya"
"59","300966",2,"Unknown"
"60","301108",1,"India, Ethiopia, Peru, United Kingdom"
"61","301108",2,"India, Vietnam"
"62","301133",1,"United Kingdom, Sierra Leone, Nepal, Lebanon, Myanmar"
"63","301133",2,"Lebanon"
